Player,Dismissal,Runs,Balls,4s,6s,Strikerate
Shivam Dube,c †Buttler b Jordan,0,1,3,1,168.75
Axar Patel,c Salt b Jordan,10,6,1,0,250.00
Arshdeep Singh,not out,1,1,0,0,100.00
Total,20 Ov (RR: 8.55),171/7,,,,
Rohit Sharma (c),c Klaasen b Maharaj,9,5,,,
Virat Kohli,c Rabada b Jansen,76,59,,,
Rishabh Pant †,c †de Kock b Maharaj,0,2,,,
Suryakumar Yadav,c Klaasen b Rabada,3,4,,,
Axar Patel,run out (†de Kock),47,31,,,
Shivam Dube,c Miller b Nortje,27,16,,,
Hardik Pandya,not out,5,2,,,
Ravindra Jadeja,c Maharaj b Nortje,2,2,,,
Rohit Sharma (c),c Klaasen b Maharaj,9,5,,,
Virat Kohli,c Rabada b Jansen,76,59,,,
Rishabh Pant †,c †de Kock b Maharaj,0,2,,,
Suryakumar Yadav,c Klaasen b Rabada,3,4,,,
Axar Patel,run out (†de Kock),47,31,,,
Shivam Dube,c Miller b Nortje,27,16,,,
Hardik Pandya,not out,5,2,,,
Ravindra Jadeja,c Maharaj b Nortje,2,2,,,
Total,20 Ov (RR: 8.80),176/7,,,,
